date,stock,headline,summary,source,url,published_time,sentiment_score,sentiment_category
2025-07-10,NVDA,Tech investors are benefiting from being loud online,"For today's elite VCs, controversy might actually be good for business....",Yahoo,https://finnhub.io/api/news?id=22b572c9a44fae2addc47bb34208db77d2af0257e9b795cee98b6cc47c0e16ab,2025-07-11 02:15:28,0.12129000000000001,Neutral
2025-07-10,NVDA,"Podcast: New Highs for S&P, Nasdaq and Nvidia; WK Kellogg Shares Pop on Deal","Both the Nasdaq and S&P reached new records, as did Nvidia after becoming the world’s first $4 trillion company. Copper futures and mining companies rallied after President Trump said levies on the me...",Yahoo,https://finnhub.io/api/news?id=7969d45cf4736befd12ec5ef64b7a5885677de9553ad51fb1c32e3dd214548d5,2025-07-11 01:37:11,0.12129000000000001,Neutral
2025-07-10,NVDA,"Wall Street stocks close higher, Delta forecast boosts sentiment","STORY: U.S. stocks rose on Thursday, with the Dow gaining more than four-tenths of a percent, the S&P 500 adding over a quarter-percent and the Nasdaq ticking up marginally.The gains, while moderate, ...",Yahoo,https://finnhub.io/api/news?id=1196c2503c4032fbbaa35c863938adc00cde5ec84b332d543463529936cb8d5d,2025-07-11 01:00:16,0.12129000000000001,Neutral
2025-07-10,NVDA,S&P 500 Gains and Losses Today: Soaring Airline Stocks Help Lift Index to Record Close,"The S&P 500 added 0.3% on Thursday, July 10, 2025, reaching another record close as Nvidia stock and Bitcoin climbed to new highs....",Yahoo,https://finnhub.io/api/news?id=ca56ef4847d1438cee705054a93fb38ee2356296a0ae491d0c699798ade616c4,2025-07-11 00:29:41,0.12129000000000001,Neutral
2025-07-10,NVDA,"Stocks to Watch Recap: Delta, Kellogg, Nvidia, TSMC",↗️ Freeport-McMoRan (FCX): U.S. and overseas mining stocks rallied about 3% or more after President Trump confirmed copper tariffs will take effect Aug. 1. ↗️ MP Materials (MP): The U.S.'s biggest rar...,Yahoo,https://finnhub.io/api/news?id=92f8c87321607beac22503c0b4f795c62e359862326f90900cdb898a4dcb6f8e,2025-07-11 00:12:50,0.12129000000000001,Neutral
2025-07-10,NVDA,Nvidia’s Meteoric Rise Has Made Jensen Huang Almost as Rich as Warren Buffett,Nvidia CEO Jensen Huang’s net worth could soon overtake that of famed investor Warren Buffett after the AI chipmaker's stock gains made it the most valuable company in history....,Yahoo,https://finnhub.io/api/news?id=c3d51c3167fbeff6b7bd25a952575c58b5c6a6a5c80f3ee845de33a562a0f4ee,2025-07-11 00:11:53,0.12129000000000001,Neutral
2025-07-10,NVDA,Veteran trader and analysts turn heads with new Nvidia stock price targets,A Wall Street veteran takes a second look at the AI-chip kingpin....,Yahoo,https://finnhub.io/api/news?id=79e40800fdbb284fe250164139284be4df1eaf8a52784273ff494d07d2a27916,2025-07-11 00:04:00,0.12129000000000001,Neutral
2025-07-10,NVDA,"These Stocks Moved the Most Today: Nvidia, Delta, WK Kellogg, MP Materials, Vertiv, Helen of Troy, and More",Nvidia rises and pushes its market capitalization north of $4 trillion. It’s the first U.S. firm to reach and close above that level. Delta’s earnings beat analysts’ estimates....,Yahoo,https://finnhub.io/api/news?id=890977a1cbd5b6cb4055f345e6255f62461368c704fd7f7f58c613623aea2583,2025-07-10 23:53:00,0.12129000000000001,Neutral
2025-07-10,NVDA,"Nvidia Hits Milestone, Helps Lift S&P, Nasdaq to All-Time Highs","Nvidia shares rose to a new record Thursday, helping lift the S&P 500 and Nasdaq composite to all-time highs of their own.  The artificial intelligence chip-maker closed Thursday’s trading with a valu...",Yahoo,https://finnhub.io/api/news?id=e29b176448a2c6c78fb283eb2785f856caddbd344bcb0aa1a57386107fb13408,2025-07-10 23:47:36,0.12129000000000001,Neutral
2025-07-10,NVDA,"Nvidia’s Huang meets Trump ahead of China trip, Bloomberg reports","Investing.com -- Nvidia Corp . (NASDAQ:NVDA) CEO Jensen Huang met with President Donald Trump at the White House on Thursday, just days before a scheduled trip to China, according to people familiar w...",Yahoo,https://finnhub.io/api/news?id=63bdb482fd5bbc45f5d49e44673b021558435121598e870a7b38c0c1661cb8b0,2025-07-10 23:45:53,0.12129000000000001,Neutral
2025-07-10,MSFT,These 3 Companies Generate Big Cash,"Strong cash flows reflect financial stability, allowing companies to pay down debt, pursue growth opportunities, and shell out dividend payments....",Yahoo,https://finnhub.io/api/news?id=f5d7d63826aa8f5ddda7c4dee839427f66d9ba8a4e34addbbcf2912a07269b02,2025-07-11 01:34:00,0.63071,Very Positive
2025-07-10,MSFT,Microsoft Eyes $4 Trillion Badge,AI-driven Azure growth sets the stage for Microsoft to hit the milestone this summer...,Yahoo,https://finnhub.io/api/news?id=9bb697fe8929177c2fdca3863edfcec49f2bf281bfb74da01beef628e202f975,2025-07-11 00:13:12,0.63071,Very Positive
2025-07-10,MSFT,"Nvidia Hits Milestone, Helps Lift S&P, Nasdaq to All-Time Highs","Nvidia shares rose to a new record Thursday, helping lift the S&P 500 and Nasdaq composite to all-time highs of their own.  The artificial intelligence chip-maker closed Thursday’s trading with a valu...",Yahoo,https://finnhub.io/api/news?id=e29b176448a2c6c78fb283eb2785f856caddbd344bcb0aa1a57386107fb13408,2025-07-10 23:47:36,0.63071,Very Positive
2025-07-10,MSFT,Amazon's Azure Still Has More Room To Run,AI-driven growth from Azure isn't fully baked into the current share price...,Yahoo,https://finnhub.io/api/news?id=64585ed4a1a6fd26b247b94d693c59c9fb31e1e7c5fc7b6da69d091e69d053a2,2025-07-10 23:14:46,0.63071,Very Positive
