Date,Stock,Entry_Price,Exit_Price,Entry_Time,Exit_Time,Take_Profit,Stop_Loss,Trade_Result,Holding_Duration,Shares,Profit_Loss,Sentiment_Score
2025-07-10,NVDA,591.48,592.18,10:00,19:12,592.18,590.48,take_profit,9h 12m,13,9.1,0.1213
2025-07-10,AAPL,257.84,258.54,10:00,17:43,258.54,256.84,take_profit,7h 43m,31,21.7,0.3437
2025-07-10,AMZN,241.34,242.04,10:00,19:16,242.04,240.34,take_profit,9h 16m,33,23.1,0.2796
2025-07-10,GOOGL,220.02,220.72,10:00,13:50,220.72,219.02,take_profit,3h 50m,37,25.9,0.3103
2025-07-10,META,669.55,670.25,10:00,12:47,670.25,668.55,take_profit,2h 47m,12,8.4,0.4517
2025-07-10,AVGO,1157.17,1157.87,10:00,11:38,1157.87,1156.17,take_profit,1h 38m,7,4.9,0.2754
2025-07-10,TSM,193.07,193.77,10:00,14:05,193.77,192.07,take_profit,4h 5m,42,29.4,0.2407
2025-07-10,TSLA,301.54,302.24,10:00,15:29,302.24,300.54,take_profit,5h 29m,27,18.9,0.3957
2025-07-10,ORCL,190.66,191.36,10:00,19:46,191.36,189.66,take_profit,9h 46m,42,29.4,0.2477
2025-07-10,INTU,831.48,832.18,10:00,13:10,832.18,830.48,take_profit,3h 10m,9,6.3,0.0
2025-07-10,QCOM,231.85,232.55,10:00,10:47,232.55,230.85,take_profit,0h 47m,35,24.5,0.2798
2025-07-11,NVDA,616.29,616.99,10:00,13:09,616.99,615.29,take_profit,3h 9m,13,9.1,0.1213
2025-07-11,AAPL,256.08,256.78,10:00,16:10,256.78,255.08,take_profit,6h 10m,32,22.4,0.3437
2025-07-11,AMZN,236.16,236.86,10:00,15:02,236.86,235.16,take_profit,5h 2m,34,23.8,0.2796
2025-07-11,GOOGL,221.19,221.89,10:00,12:02,221.89,220.19,take_profit,2h 2m,37,25.9,0.3103
2025-07-11,META,705.95,706.65,10:00,13:41,706.65,704.95,take_profit,3h 41m,11,7.7,0.4517
2025-07-11,AVGO,1138.94,1139.64,10:00,19:40,1139.64,1137.94,take_profit,9h 40m,7,4.9,0.2754
2025-07-11,TSM,195.21,195.91,10:00,18:19,195.91,194.21,take_profit,8h 19m,41,28.7,0.2407
2025-07-11,TSLA,331.82,332.52,10:00,12:49,332.52,330.82,take_profit,2h 49m,24,16.8,0.3957
2025-07-11,ORCL,196.38,197.08,10:00,15:41,197.08,195.38,take_profit,5h 41m,41,28.7,0.2477
2025-07-11,INTU,822.06,822.76,10:00,11:00,822.76,821.06,take_profit,1h 0m,9,6.3,0.0
2025-07-11,QCOM,226.8,227.5,10:00,11:50,227.5,225.8,take_profit,1h 50m,36,25.2,0.2798
2025-07-14,NVDA,639.01,639.71,10:00,23:16,639.71,638.01,take_profit,13h 16m,11,7.7,0.1213
2025-07-14,AAPL,265.27,265.97,10:00,13:44,265.97,264.27,take_profit,3h 44m,28,19.6,0.366
2025-07-14,AMZN,227.24,227.94,10:00,11:00,227.94,226.24,take_profit,1h 0m,33,23.1,0.3923
2025-07-14,GOOGL,223.76,224.46,10:00,16:57,224.46,222.76,take_profit,6h 57m,33,23.1,0.4623
2025-07-14,META,698.62,699.32,10:00,18:17,699.32,697.62,take_profit,8h 17m,10,7.0,0.189
2025-07-14,TSM,197.48,198.18,10:00,17:28,198.18,196.48,take_profit,7h 28m,38,26.6,0.1944
2025-07-14,TSLA,322.1,322.8,10:00,15:50,322.8,321.1,take_profit,5h 50m,23,16.1,0.3045
2025-07-14,ORCL,179.26,179.96,10:00,17:35,179.96,178.26,take_profit,7h 35m,42,29.4,0.2082
2025-07-14,ADBE,771.0,771.7,10:00,16:42,771.7,770.0,take_profit,6h 42m,9,6.3,0.4228
2025-07-14,CSCO,66.94,67.64,10:00,20:45,67.64,65.94,take_profit,10h 45m,112,78.4,0.1256
2025-07-14,INTU,819.82,820.52,10:00,13:47,820.52,818.82,take_profit,3h 47m,9,6.3,0.2464
2025-07-14,QCOM,243.05,243.75,10:00,21:09,243.75,242.05,take_profit,11h 9m,30,21.0,0.4286
2025-07-15,AAPL,256.74,257.44,10:00,15:15,257.44,255.74,take_profit,5h 15m,35,24.5,0.3146
2025-07-15,AMZN,221.57,222.27,10:00,16:44,222.27,220.57,take_profit,6h 44m,40,28.0,0.3574
2025-07-15,META,692.91,693.61,10:00,12:57,693.61,691.91,take_profit,2h 57m,13,9.1,0.1861
2025-07-15,TSM,189.35,190.05,10:00,10:39,190.05,188.35,take_profit,0h 39m,47,32.9,0.1075
2025-07-15,TSLA,307.72,308.42,10:00,18:30,308.42,306.72,take_profit,8h 30m,29,20.3,0.1826
2025-07-15,ORCL,191.93,192.63,10:00,23:57,192.63,190.93,take_profit,13h 57m,47,32.9,0.3269
2025-07-15,ADBE,731.33,732.03,10:00,19:24,732.03,730.33,take_profit,9h 24m,12,8.4,0.3497
2025-07-15,CSCO,70.68,71.38,10:00,16:12,71.38,69.68,take_profit,6h 12m,128,89.6,0.2226
2025-07-15,INTU,808.23,808.93,10:00,14:38,808.93,807.23,take_profit,4h 38m,11,7.7,0.2355
2025-07-15,QCOM,227.38,228.08,10:00,13:55,228.08,226.38,take_profit,3h 55m,39,27.3,0.3075
