symbol,strategies_participated,total_trades,wins,losses,win_rate_%,total_pnl_$,avg_pnl_$
AAPL,20,1568,816,752,52.0,230509.33,147.01
ADBE,20,2087,1098,989,52.6,295403.3,141.54
AMZN,20,3052,1602,1450,52.5,444904.64,145.77
AVGO,20,3182,1667,1515,52.4,464992.64,146.13
CSCO,20,2332,1220,1112,52.3,333269.52,142.91
GOOGL,20,2301,1207,1094,52.5,334661.05,145.44
INTU,20,1675,876,799,52.3,243033.13,145.09
META,20,2084,1094,990,52.5,304638.32,146.18
MSFT,20,2734,1433,1301,52.4,400885.79,146.63
NVDA,20,2252,1177,1075,52.3,330730.78,146.86
ORCL,20,2716,1422,1294,52.4,390198.47,143.67
QCOM,20,2394,1254,1140,52.4,350284.29,146.32
TSLA,20,1086,568,518,52.3,160354.32,147.66
TSM,20,2769,1452,1317,52.4,391197.08,141.28
