symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,-547102.3872,69,-7929.0201,-0.434,1.0657,5021.5652,20,28.985507246376812
ADBE,-2492544.8944,98,-25434.1316,-1.3267,3.9732,3810.3163,20,18.367346938775512
AMZN,-259562.7564,64,-4055.6681,-0.034,0.1234,5090.5625,20,31.25
AVGO,850075.8534,120,7083.9654,0.4158,1.3528,3190.6667,20,37.5
CSCO,-609937.8344,104,-5864.7869,-0.2573,0.8025,1272.3462,20,38.46153846153847
GOOGL,-1442620.4688,30,-48087.349,-1.3882,1.8282,12329.0333,20,0.0
INTU,138887.62,120,1157.3968,0.0083,0.0593,1236.3333,20,50.0
META,-890273.7136,44,-20233.4935,-0.3979,0.8332,4839.9091,20,0.0
MSFT,313197.948,80,3914.9744,0.028,0.0473,3862.0,20,75.0
NVDA,655795.8976,20,32789.7949,0.194,0.192,18377.45,20,100.0
ORCL,7278477.1571,132,55139.9785,5.3133,7.0545,3394.4848,20,65.9090909090909
QCOM,224986.5992,93,2419.2107,0.3562,2.2192,3900.4194,20,29.03225806451613
TSLA,1233867.516,20,61693.3758,5.778,4.4759,5511.6,20,100.0
TSM,-388011.47,105,-3695.3473,-0.3807,1.0277,2494.5619,20,53.333333333333336
