strategy_id,total_pnl_usd,avg_pnl_usd,trade_count,pnl_std_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,take_profit_count,win_rate_pct,stop_loss_count,eod_count
S01,1243024.7941,18552.6089,67,35704.6784,1.8433,3.3864,4392.7313,35,67.16417910447761,20,0
S02,1253521.1446,20892.0191,60,45783.6925,1.5926,4.244,4688.7667,19,61.66666666666667,19,0
S03,1090894.9945,20978.7499,52,52778.7998,0.5179,4.0266,4693.2692,9,61.53846153846154,16,0
S04,585355.8173,12454.3791,47,48009.7598,-0.2878,3.3508,4692.7234,1,57.446808510638306,16,0
S05,1435330.9844,22082.0151,65,35589.3211,2.2918,3.2048,4241.8769,36,75.38461538461539,8,0
S06,1464708.6148,25253.5968,58,46428.1464,2.0833,4.2418,4548.7931,20,70.6896551724138,8,0
S07,1190696.521,23813.9304,50,53516.5109,0.5974,3.7492,4570.68,9,70.0,7,0
S08,672024.0606,14933.868,45,48626.2652,0.0029,3.4649,4552.1556,1,66.66666666666666,7,0
S09,1468780.2224,23313.9718,63,36145.973,2.428,3.2362,4130.254,36,76.19047619047619,4,0
S10,1498157.8528,26752.8188,56,47149.1872,2.2289,4.3086,4434.1786,20,71.42857142857143,4,0
S11,1183938.703,24162.0143,49,54926.9416,0.6847,3.8344,4440.4082,9,69.38775510204081,4,0
S12,665266.2426,15119.6873,44,50288.6459,0.0865,3.5765,4406.6591,1,65.9090909090909,4,0
S13,1750438.1288,27784.7322,63,27581.6453,2.7697,2.5079,3842.3651,36,80.95238095238095,0,0
S14,1779815.7592,31782.4243,56,39619.6327,2.6133,3.74,4110.3036,20,76.78571428571429,0,0
S15,1465596.6094,29910.1349,49,47901.4598,1.1237,3.2894,4070.2653,9,75.51020408163265,0,0
S16,946924.149,21521.0034,44,42856.8067,0.5757,3.0051,3994.4545,1,72.72727272727273,0,0
S17,1628470.6776,25444.8543,64,40348.2718,2.4264,3.7121,4623.9688,34,71.875,12,0
S18,1588548.592,28366.9391,56,48700.4695,2.169,4.4046,4407.375,18,71.42857142857143,4,0
S19,1011760.445,22483.5654,45,41563.1664,0.4804,2.2341,4019.6667,2,73.33333333333333,0,0
S20,946924.149,21521.0034,44,42856.8067,0.5757,3.0051,3994.4545,1,72.72727272727273,0,0
