strategy_name,pnl_usd,stop_loss_count,take_profit_count,sentiment_exit_count,period_end_exit_count
S01,126062.49890000004,79,48,0,0
S02,-701863.9874,83,16,0,0
S03,-662886.7833,61,4,0,0
S04,-720504.2571,56,0,0,0
S05,374505.505,48,56,0,0
S06,117506.31469999999,34,20,0,0
S07,-521924.8407,35,4,0,0
S08,-211876.7614,18,0,0,0
S09,899333.8306,25,55,0,0
S10,378866.0257,19,19,0,0
S11,22125.1187,11,4,0,0
S12,-252191.9609,11,0,0,0
S13,1399870.9248000002,9,53,0,0
S14,877158.6273,6,19,0,0
S15,179349.143,0,4,0,0
S16,-158138.2289,9,1,0,0
S17,152785.7532,56,37,0,0
S18,-780171.8579,43,14,0,0
S19,-77859.4338,14,2,0,0
S20,-94967.9366,0,0,0,0
