symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,-61474.5114,6,-10245.7519,-1.4683,1.6832,4254.0,3,50.0
ADBE,-90054.0669,3,-30018.0223,-3.0024,0.0,6091.0,3,0.0
AMZN,-21091.616,6,-3515.2693,-0.6471,3.1475,5434.1667,3,50.0
AVGO,122611.665,6,20435.2775,0.7619,4.7504,3802.1667,3,50.0
CSCO,118958.1675,6,19826.3612,0.913,1.9951,8196.5,3,100.0
GOOGL,-90168.666,3,-30056.222,-3.0057,0.0,1792.0,3,0.0
INTU,42793.14,3,14264.38,0.1019,0.0,9120.0,3,100.0
META,112452.905,6,18742.1508,0.7517,4.7511,4795.6667,3,50.0
MSFT,42699.48,3,14233.16,0.1017,0.0,8149.0,3,100.0
NVDA,-180418.1589,6,-30069.6931,-3.0071,0.0001,974.0,3,0.0
ORCL,160621.0254,3,53540.3418,4.4025,3.9207,10642.6667,3,100.0
QCOM,-180394.5516,6,-30065.7586,-3.0067,0.0001,1155.0,3,0.0
TSM,22665.839,6,3777.6398,-0.5952,3.1627,5233.0,3,50.0
