symbol,trades_count,wins_count,losses_count,win_rate_%,tp_count,sl_count,eod_count,total_pnl_$,avg_pnl_$,avg_pnl_%,pnl_share_%
META,2032,1139,893,56.1,20,16,1996,5243819.38,2580.62,0.26,63.07
TSLA,1429,886,543,62.0,21,84,1324,4824141.15,3375.89,0.34,58.02
AVGO,2386,1280,1106,53.6,8,42,2336,3808686.14,1596.26,0.16,45.81
MSFT,2280,1272,1008,55.8,8,0,2272,3518461.43,1543.18,0.15,42.32
AAPL,1832,1132,688,61.8,0,18,1814,1517992.92,828.6,0.08,18.26
ADBE,1865,1047,818,56.1,0,10,1855,969956.64,520.08,0.05,11.67
CSCO,1928,1146,782,59.4,0,10,1918,717584.04,372.19,0.04,8.63
GOOGL,2197,1017,1180,46.3,18,12,2167,529056.61,240.81,0.02,6.36
AMZN,2362,1200,1162,50.8,0,24,2338,-109737.42,-46.46,-0.0,-1.32
ORCL,2216,1059,1157,47.8,10,30,2176,-933591.14,-421.3,-0.04,-11.23
TSM,1926,926,1000,48.1,20,28,1878,-1735168.94,-900.92,-0.09,-20.87
QCOM,1982,910,1072,45.9,12,27,1943,-1936450.46,-977.02,-0.1,-23.29
INTU,1395,587,808,42.1,0,8,1387,-2260021.21,-1620.09,-0.16,-27.18
NVDA,2208,1046,1162,47.4,12,134,2062,-5840219.54,-2645.03,-0.26,-70.24
GRAND_TOTAL,28038,14647,13379,52.2,129,443,27466,8314509.6,296.54,0.03,100.0
