symbol,trades_count,wins_count,losses_count,win_rate_%,tp_count,sl_count,eod_count,total_pnl_$,avg_pnl_$,avg_pnl_%,pnl_share_%
META,1956,1098,858,56.1,20,16,1920,5026222.57,2569.64,0.26,256.23
AVGO,2328,1234,1094,53.0,8,42,2278,3389228.61,1455.85,0.15,172.78
TSLA,1319,806,513,61.1,16,84,1219,2902059.79,2200.2,0.22,147.94
MSFT,2110,1102,1008,52.2,8,0,2102,2882364.88,1366.05,0.14,146.94
AAPL,1776,1102,662,62.0,0,18,1758,1534778.21,864.18,0.09,78.24
ADBE,1790,1022,768,57.1,0,10,1780,1109060.38,619.59,0.06,56.54
CSCO,1845,1078,767,58.4,0,10,1835,344620.71,186.79,0.02,17.57
GOOGL,2102,942,1160,44.8,18,12,2072,-262263.84,-124.77,-0.01,-13.37
AMZN,2262,1120,1142,49.5,0,24,2238,-509194.15,-225.11,-0.02,-25.96
QCOM,1902,870,1032,45.7,12,22,1868,-1322152.12,-695.14,-0.07,-67.4
ORCL,2121,964,1157,45.5,10,30,2081,-1354514.35,-638.62,-0.06,-69.05
TSM,1906,906,1000,47.5,20,28,1858,-1893832.54,-993.62,-0.1,-96.54
INTU,1238,520,718,42.0,0,8,1230,-2558247.69,-2066.44,-0.21,-130.41
NVDA,2020,898,1122,44.5,12,134,1874,-7326506.08,-3626.98,-0.36,-373.49
GRAND_TOTAL,26675,13662,13001,51.2,124,438,26113,1961624.38,73.54,0.01,100.0
