symbol,trades_count,pnl_usd,pnl_pct,win_rate_%,tp_count,sl_count,eod_count,avg_pnl_$,avg_pnl_%,capital_base,return_%
META,2032,5243819.38,0.2581,56.1,20,16,1996,2580.62,0.26,40000000,13.1095
TSLA,1429,4824141.15,0.3376,62.0,21,84,1324,3375.89,0.34,40000000,12.0604
AVGO,2386,3808686.14,0.1596,53.6,8,42,2336,1596.26,0.16,40000000,9.5217
MSFT,2280,3518461.43,0.1543,55.8,8,0,2272,1543.18,0.15,40000000,8.7962
AAPL,1832,1517992.92,0.0829,61.8,0,18,1814,828.6,0.08,40000000,3.795
ADBE,1865,969956.64,0.052,56.1,0,10,1855,520.08,0.05,40000000,2.4249
CSCO,1928,717584.04,0.0372,59.4,0,10,1918,372.19,0.04,40000000,1.794
GOOGL,2197,529056.61,0.0241,46.3,18,12,2167,240.81,0.02,40000000,1.3226
AMZN,2362,-109737.42,-0.0046,50.8,0,24,2338,-46.46,-0.0,40000000,-0.2743
ORCL,2216,-933591.14,-0.0421,47.8,10,30,2176,-421.3,-0.04,40000000,-2.334
TSM,1926,-1735168.94,-0.0901,48.1,20,28,1878,-900.92,-0.09,40000000,-4.3379
QCOM,1982,-1936450.46,-0.0977,45.9,12,27,1943,-977.02,-0.1,40000000,-4.8411
INTU,1395,-2260021.21,-0.162,42.1,0,8,1387,-1620.09,-0.16,40000000,-5.6501
NVDA,2208,-5840219.54,-0.2645,47.4,12,134,2062,-2645.03,-0.26,40000000,-14.6005
GRAND_TOTAL,28038,8314509.6,0.0297,52.2,129,443,27466,296.54,0.03,480000000,1.7322
