strategy_name,pnl_usd,stop_loss_count,take_profit_count,sentiment_exit_count,period_end_exit_count
S01,264523.9833,35,25,0,0
S02,-18243.2739,36,9,0,0
S03,-289836.6348,27,1,0,0
S04,-226315.0336,25,0,0,0
S05,349003.622,20,26,0,0
S06,122067.8436,13,7,0,0
S07,-132898.608,13,1,0,0
S08,31813.7213,6,0,0,0
S09,487395.5357,13,26,0,0
S10,248971.7259,8,7,0,0
S11,-2187.9988,4,0,0,0
S12,-2187.9988,4,0,0,0
S13,489012.2861,8,25,0,0
S14,412684.6526,4,7,0,0
S16,-59573.104,8,1,0,0
S17,410063.7965,23,19,0,0
S18,-246069.9896,18,5,0,0
S19,33130.0878,7,1,0,0
