strategy_id,total_pnl_usd,avg_pnl_usd,trade_count,pnl_std_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,take_profit_count,win_rate_pct,stop_loss_count,eod_count
S01,264523.9833,4069.5997,65,38323.952,0.0143,0.301,8049.2615,25,46.15384615384615,35,0
S02,-18243.2739,-314.5392,58,42234.4987,-0.0177,0.3077,8961.431,9,37.93103448275862,36,0
S03,-289836.6348,-7245.9159,40,38336.4304,-0.0593,0.2338,9027.55,1,30.0,27,0
S04,-226315.0336,-5955.6588,38,39277.7431,-0.0383,0.279,9101.0789,0,31.57894736842105,25,0
S05,349003.622,6017.3038,58,45185.9447,0.0007,0.4127,9237.1207,26,60.3448275862069,20,0
S06,122067.8436,3299.1309,37,49759.6216,0.0625,0.5315,10589.973,7,51.35135135135135,13,0
S07,-132898.608,-3797.1031,35,45554.4643,-0.0524,0.33,11370.4286,1,45.714285714285715,13,0
S08,31813.7213,1325.5717,24,38183.2562,0.0036,0.2823,9343.875,0,45.83333333333333,6,0
S09,487395.5357,8703.4917,56,48429.3323,0.0031,0.5085,9510.0536,26,67.85714285714286,13,0
S10,248971.7259,7544.5978,33,55207.4486,0.1076,0.5511,11670.0303,7,60.60606060606061,8,0
S11,-2187.9988,-91.1666,24,41544.5433,-0.0088,0.3134,9906.0833,0,45.83333333333333,4,0
S12,-2187.9988,-91.1666,24,41544.5433,-0.0088,0.3134,9906.0833,0,45.83333333333333,4,0
S13,489012.2861,9404.0824,52,53817.5593,0.0238,0.5625,10066.1154,25,73.07692307692307,8,0
S14,412684.6526,12505.5955,33,54670.3288,0.1192,0.5902,11305.2121,7,69.6969696969697,4,0
S16,-59573.104,-1610.0839,37,66446.0313,-0.0682,0.6409,12861.5676,1,56.75675675675676,8,0
S17,410063.7965,7455.7054,55,44474.4172,0.0523,0.416,8490.9636,19,54.54545454545454,23,0
S18,-246069.9896,-5468.222,45,53138.4861,-0.0761,0.475,11074.8889,5,48.888888888888886,18,0
S19,33130.0878,1068.7125,31,56174.7155,-0.0235,0.3864,12596.4194,1,58.06451612903226,7,0
