strategy_name,trades_count,wins_count,losses_count,win_rate_%,tp_count,sl_count,eod_count,total_pnl_$,avg_pnl_$,avg_pnl_%,return_%
S05,1623,851,770,52.4,25,12,1586,933527.69,575.19,0.06,3.8897
S18,1623,851,770,52.4,8,8,1607,929604.5,572.77,0.06,3.8734
S02,1623,851,770,52.4,8,102,1513,903701.92,556.81,0.06,3.7654
S13,1623,851,770,52.4,25,0,1598,896458.66,552.35,0.06,3.7352
S09,1623,851,770,52.4,25,4,1594,870412.89,536.3,0.05,3.6267
S01,1623,851,770,52.4,25,102,1496,870106.75,536.11,0.05,3.6254
S08,1045,545,500,52.2,0,2,1043,456184.23,436.54,0.04,1.9008
S15,1045,545,500,52.2,0,0,1045,429115.83,410.64,0.04,1.788
S20,1045,545,500,52.2,0,0,1045,429115.83,410.64,0.04,1.788
S12,1045,545,500,52.2,0,2,1043,411640.95,393.91,0.04,1.7152
S11,1045,545,500,52.2,0,2,1043,411640.95,393.91,0.04,1.7152
S17,1529,804,725,52.6,7,35,1487,239965.61,156.94,0.02,0.9999
S14,1431,744,687,52.0,2,0,1429,122575.49,85.66,0.01,0.5107
S06,1431,744,687,52.0,2,8,1421,116415.71,81.35,0.01,0.4851
S10,1431,744,687,52.0,2,2,1427,105100.6,73.45,0.01,0.4379
S16,1529,804,725,52.6,0,0,1529,83150.07,54.38,0.01,0.3465
S19,1431,744,687,52.0,0,0,1431,48361.72,33.8,0.0,0.2015
S07,1431,744,687,52.0,0,8,1423,42201.94,29.49,0.0,0.1758
S04,1431,744,687,52.0,0,78,1353,7614.14,5.32,0.0,0.0317
S03,1431,744,687,52.0,0,78,1353,7614.14,5.32,0.0,0.0317
GRAND_TOTAL,28038,14647,13379,52.2,129,443,27466,8314509.62,296.54,0.03,0.0
