symbol,strategies_participated,total_trades,wins,losses,win_rate_%,tp_count,sl_count,eod_count,total_pnl_$,avg_pnl_$,participating_strategies
AAPL,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
ADBE,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
AMZN,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
AVGO,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
CSCO,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
GOOGL,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
INTU,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
META,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
MSFT,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
NVDA,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
ORCL,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
QCOM,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
TSLA,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
TSM,20,950,497,453,52.3,4,23,911,140310.03,147.69,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20"
