symbol,strategy,trades,wins,win_rate_%,total_pnl_$,avg_pnl_$
TSLA,S01,55,28,50.9,12125.69,220.47
QCOM,S01,55,28,50.9,12125.69,220.47
MSFT,S01,55,28,50.9,12125.69,220.47
ORCL,S01,55,28,50.9,12125.69,220.47
ADBE,S01,55,28,50.9,12125.69,220.47
CSCO,S01,55,28,50.9,12125.69,220.47
INTU,S01,55,28,50.9,12125.69,220.47
META,S01,55,28,50.9,12125.69,220.47
AAPL,S01,55,28,50.9,12125.69,220.47
AMZN,S01,55,28,50.9,12125.69,220.47
GOOGL,S01,55,28,50.9,12125.69,220.47
AVGO,S01,55,28,50.9,12125.69,220.47
NVDA,S01,55,28,50.9,12125.69,220.47
TSM,S01,55,28,50.9,12125.69,220.47
TSLA,S02,55,28,50.9,24028.16,436.88
QCOM,S02,55,28,50.9,24028.16,436.88
MSFT,S02,55,28,50.9,24028.16,436.88
ORCL,S02,55,28,50.9,24028.16,436.88
ADBE,S02,55,28,50.9,24028.16,436.88
CSCO,S02,55,28,50.9,24028.16,436.88
INTU,S02,55,28,50.9,24028.16,436.88
META,S02,55,28,50.9,24028.16,436.88
AAPL,S02,55,28,50.9,24028.16,436.88
AMZN,S02,55,28,50.9,24028.16,436.88
GOOGL,S02,55,28,50.9,24028.16,436.88
AVGO,S02,55,28,50.9,24028.16,436.88
NVDA,S02,55,28,50.9,24028.16,436.88
TSM,S02,55,28,50.9,24028.16,436.88
TSLA,S03,49,25,51.0,2966.53,60.54
QCOM,S03,49,25,51.0,2966.53,60.54
MSFT,S03,49,25,51.0,2966.53,60.54
ORCL,S03,49,25,51.0,2966.53,60.54
ADBE,S03,49,25,51.0,2966.53,60.54
CSCO,S03,49,25,51.0,2966.53,60.54
INTU,S03,49,25,51.0,2966.53,60.54
META,S03,49,25,51.0,2966.53,60.54
AAPL,S03,49,25,51.0,2966.53,60.54
AMZN,S03,49,25,51.0,2966.53,60.54
GOOGL,S03,49,25,51.0,2966.53,60.54
AVGO,S03,49,25,51.0,2966.53,60.54
NVDA,S03,49,25,51.0,2966.53,60.54
TSM,S03,49,25,51.0,2966.53,60.54
TSLA,S04,49,25,51.0,213.41,4.36
QCOM,S04,49,25,51.0,213.41,4.36
MSFT,S04,49,25,51.0,213.41,4.36
ORCL,S04,49,25,51.0,213.41,4.36
ADBE,S04,49,25,51.0,213.41,4.36
CSCO,S04,49,25,51.0,213.41,4.36
INTU,S04,49,25,51.0,213.41,4.36
META,S04,49,25,51.0,213.41,4.36
AAPL,S04,49,25,51.0,213.41,4.36
AMZN,S04,49,25,51.0,213.41,4.36
GOOGL,S04,49,25,51.0,213.41,4.36
AVGO,S04,49,25,51.0,213.41,4.36
NVDA,S04,49,25,51.0,213.41,4.36
TSM,S04,49,25,51.0,213.41,4.36
