symbol,total_pnl_usd,trade_count,avg_pnl_usd,avg_pnl_pct,pnl_std_pct,avg_holding_minutes,strategy_count,win_rate_pct
AAPL,810772.5124,41,19774.9393,0.1716,0.324,10908.9756,15,68.29268292682927
ADBE,892157.7364,68,13119.9667,0.0937,0.247,8934.9412,18,58.82352941176471
AMZN,-2593682.9158,58,-44718.671,-0.3164,0.2845,9974.0,18,6.896551724137931
AVGO,-1173981.1846,83,-14144.3516,-0.1145,0.4236,10765.7952,18,40.963855421686745
CSCO,2792348.2542,70,39890.6893,0.2849,0.1716,10015.0714,18,90.0
GOOGL,-515688.3282,40,-12892.2082,-0.1072,0.3282,7801.975,15,20.0
INTU,91910.28,21,4376.68,0.0313,0.024,5025.4286,18,85.71428571428571
META,-216445.9648,64,-3381.9682,-0.1508,0.9307,12272.0781,18,46.875
MSFT,138280.4038,24,5761.6835,0.0384,0.1062,16445.5833,15,83.33333333333334
NVDA,2954529.6504,55,53718.7209,0.352,0.2722,7930.8545,15,85.45454545454545
ORCL,1337789.5266,60,22296.4921,0.1441,0.2057,11320.7,18,66.66666666666666
QCOM,45057.8884,53,850.1488,0.0061,0.3134,9302.2075,18,50.943396226415096
TSLA,-2045435.0881,47,-43519.8955,-0.3305,0.342,7697.766,18,14.893617021276595
TSM,-646258.1576,61,-10594.396,-0.0751,0.1953,10249.1967,18,37.704918032786885
