strategy_id,start_date,end_date,score_threshold,min_news_count,trend_filter,stop_pct,take_pct,qualified_count,days_with_trades,days_with_no_trades,investment_per_stock_usd,hold_policy,total_pnl_usd,cumulative_return_pct,trades_count,win_rate_pct,avg_pnl_per_trade_usd,profit_factor,max_drawdown_pct,sharpe_ratio,eod_forced_closes,status
1,2024-12-09,2024-12-20,0.35,2,ON,3,5,5.190476190476191,21,0,1000000,EOD,-141336.3300000012,-0.1296840336039281,109,53.21100917431193,-1296.663577981662,0.8166178612329287,3676.095967371406,-1.695264099496984,96,OK
2,2024-12-09,2024-12-20,0.4,2,ON,5,5,3.761904761904762,20,1,1000000,EOD,112818.0010999994,0.1428244981093496,79,58.22784810126582,1428.075963291132,1.280658374477444,152.5503939681521,1.716220420411726,79,OK
3,2024-12-09,2024-12-20,0.35,2,ON,5,7,5.190476190476191,21,0,1000000,EOD,-30530.58730000091,-0.02801353133593426,109,53.21100917431193,-280.0971311926689,0.9537355423826123,610.2349696808144,-0.3583545953314307,109,OK
4,2024-12-09,2024-12-20,0.4,2,ON,7,7,3.761904761904762,20,1,1000000,EOD,112818.0010999994,0.1428244981093496,79,58.22784810126582,1428.075963291132,1.280658374477444,152.5503939681521,1.716220420411726,79,OK
5,2024-12-09,2024-12-20,0.35,2,ON,10,15,5.190476190476191,21,0,1000000,EOD,-30530.58730000091,-0.02801353133593426,109,53.21100917431193,-280.0971311926689,0.9537355423826123,610.2349696808144,-0.3583545953314307,109,OK
6,2024-12-09,2024-12-20,0.4,2,ON,10,20,3.761904761904762,20,1,1000000,EOD,112818.0010999994,0.1428244981093496,79,58.22784810126582,1428.075963291132,1.280658374477444,152.5503939681521,1.716220420411726,79,OK
7,2024-12-09,2024-12-20,0.35,2,OFF,5,5,5.190476190476191,21,0,1000000,EOD,-30530.58730000091,-0.02801353133593426,109,53.21100917431193,-280.0971311926689,0.9537355423826123,610.2349696808144,-0.3583545953314307,109,OK
8,2024-12-09,2024-12-20,0.4,2,OFF,7,10,3.761904761904762,20,1,1000000,EOD,112818.0010999994,0.1428244981093496,79,58.22784810126582,1428.075963291132,1.280658374477444,152.5503939681521,1.716220420411726,79,OK
9,2024-12-09,2024-12-20,0.35,2,ON,4,8,5.190476190476191,21,0,1000000,EOD,-92348.4647000008,-0.08473491139486905,109,53.21100917431193,-847.2336211009248,0.8720461141167569,765.0728082004492,-1.089649243169873,104,OK
10,2024-12-09,2024-12-20,0.4,2,ON,6,10,3.761904761904762,20,1,1000000,EOD,112818.0010999994,0.1428244981093496,79,58.22784810126582,1428.075963291132,1.280658374477444,152.5503939681521,1.716220420411726,79,OK
11,2024-12-09,2024-12-20,0.45,2,ON,3,3,2.809523809523809,20,1,1000000,EOD,52395.34009999924,0.08881684266874007,59,57.6271186440678,888.0566118643939,1.144701341584248,312.2023487146932,0.9792407502856156,49,OK
12,2024-12-09,2024-12-20,0.5,2,ON,5,5,2.0,17,4,1000000,EOD,6016.890599999264,0.01432776462591075,42,52.38095238095239,143.2592999999825,1.024261983504777,529.2714927496951,0.1397786468153884,42,OK
13,2024-12-09,2024-12-20,0.45,2,ON,7,5,2.809523809523809,20,1,1000000,EOD,68911.93979999953,0.1168146041906184,59,57.6271186440678,1167.998979661009,1.217648475987398,232.0974382472061,1.319446795674248,59,OK
14,2024-12-09,2024-12-20,0.5,2,ON,10,10,2.0,17,4,1000000,EOD,6016.890599999264,0.01432776462591075,42,52.38095238095239,143.2592999999825,1.024261983504777,529.2714927496951,0.1397786468153884,42,OK
15,2024-12-09,2024-12-20,0.45,2,OFF,3,5,2.809523809523809,20,1,1000000,EOD,23439.32349999929,0.03973266904247404,59,57.6271186440678,397.2766694915133,1.06473288559257,392.9183599080093,0.4456950974705036,53,OK
16,2024-12-09,2024-12-20,0.5,2,OFF,5,7,2.0,17,4,1000000,EOD,6016.890599999264,0.01432776462591075,42,52.38095238095239,143.2592999999825,1.024261983504777,529.2714927496951,0.1397786468153884,42,OK
17,2024-12-09,2024-12-20,0.3,2,ON,8,12,6.142857142857143,21,0,1000000,EOD,-150502.4394000006,-0.1166844970664396,129,52.71317829457365,-1166.68557674419,0.8326502877247606,3291.521021242566,-1.427398094064892,129,OK
18,2024-12-09,2024-12-20,0.35,2,ON,6,12,5.190476190476191,21,0,1000000,EOD,-30530.58730000091,-0.02801353133593426,109,53.21100917431193,-280.0971311926689,0.9537355423826123,610.2349696808144,-0.3583545953314307,109,OK
19,2024-12-09,2024-12-20,0.3,2,OFF,10,20,6.142857142857143,21,0,1000000,EOD,-150502.4394000006,-0.1166844970664396,129,52.71317829457365,-1166.68557674419,0.8326502877247606,3291.521021242566,-1.427398094064892,129,OK
20,2024-12-09,2024-12-20,0.35,2,ON,10,20,5.190476190476191,21,0,1000000,EOD,-30530.58730000091,-0.02801353133593426,109,53.21100917431193,-280.0971311926689,0.9537355423826123,610.2349696808144,-0.3583545953314307,109,OK
