strategy_id,start_date,end_date,sentiment_min,sentiment_max,min_news_count,trend_filter,stop_pct,take_pct,top_k,investment_per_stock_usd,hold_policy,total_pnl_usd,cumulative_return_pct,trades_count,win_rate_pct,avg_pnl_per_trade_usd,profit_factor,max_drawdown_pct,sharpe_ratio,eod_forced_closes,status
1,2025-03-05,2025-03-12,0.1,0.6,2,ON,3,5,3,1000000,EOD,-45033.12259999992,-0.2502145832017763,18,50.0,-2501.84014444444,0.7154113334221873,404.7870065900771,-3.490074629422862,14,OK
2,2025-03-05,2025-03-12,0.2,0.7,2,ON,5,5,3,1000000,EOD,-10537.4025999999,-0.05854827840848623,18,55.55555555555556,-585.4112555555499,0.9190019794938503,231.740111898886,-0.7631734792290135,17,OK
3,2025-03-05,2025-03-12,0.1,0.6,2,ON,5,7,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
4,2025-03-05,2025-03-12,0.2,0.7,2,ON,7,7,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
5,2025-03-05,2025-03-12,0.1,0.6,2,ON,10,15,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
6,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,20,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
7,2025-03-05,2025-03-12,0.1,0.6,2,OFF,5,5,3,1000000,EOD,-10537.4025999999,-0.05854827840848623,18,55.55555555555556,-585.4112555555499,0.9190019794938503,231.740111898886,-0.7631734792290135,17,OK
8,2025-03-05,2025-03-12,0.2,0.7,2,OFF,7,10,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
9,2025-03-05,2025-03-12,0.1,0.6,2,ON,4,8,3,1000000,EOD,-57535.34029999984,-0.319679834783139,18,55.55555555555556,-3196.407794444436,0.6078296964080514,283.7534437993282,-3.938110456133285,16,OK
10,2025-03-05,2025-03-12,0.2,0.7,2,ON,6,10,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
11,2025-03-05,2025-03-12,0.1,0.6,2,ON,3,3,1,1000000,EOD,-47251.44319999989,-0.7875592697023756,6,33.33333333333333,-7875.240533333315,0.4612953291171258,0.0,-5.402254550231268,3,OK
12,2025-03-05,2025-03-12,0.2,0.7,2,ON,5,5,1,1000000,EOD,9634.991800000062,0.1605903775992273,6,50.0,1605.831966666677,1.172988908860982,0.0,0.974679163600069,5,OK
13,2025-03-05,2025-03-12,0.1,0.6,2,ON,7,5,1,1000000,EOD,9634.991800000062,0.1605903775992273,6,50.0,1605.831966666677,1.172988908860982,0.0,0.974679163600069,5,OK
14,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,10,1,1000000,EOD,-20747.42589999992,-0.3458058946654169,6,50.0,-3457.904316666654,0.6274958357395762,0.0,-3.071035862356811,6,OK
15,2025-03-05,2025-03-12,0.1,0.6,2,OFF,3,5,1,1000000,EOD,-28731.86819999995,-0.4788858837813639,6,33.33333333333333,-4788.644699999991,0.6724334633120554,0.0,-2.642236671844707,3,OK
16,2025-03-05,2025-03-12,0.2,0.7,2,OFF,5,7,1,1000000,EOD,-20747.42589999992,-0.3458058946654169,6,50.0,-3457.904316666654,0.6274958357395762,0.0,-3.071035862356811,6,OK
17,2025-03-05,2025-03-12,0.1,0.6,2,ON,8,12,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
18,2025-03-05,2025-03-12,0.2,0.7,2,ON,6,12,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
19,2025-03-05,2025-03-12,0.1,0.6,2,OFF,10,20,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
20,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,20,3,1000000,EOD,-40919.82029999988,-0.2273601116227297,18,55.55555555555556,-2273.323349999993,0.6854609651369511,231.740111898886,-3.288940796272875,18,OK
