strategy_id,start_date,end_date,sentiment_min,sentiment_max,min_news_count,trend_filter,stop_pct,take_pct,top_k,investment_per_stock_usd,hold_policy,total_pnl_usd,cumulative_return_pct,trades_count,win_rate_pct,avg_pnl_per_trade_usd,profit_factor,max_drawdown_pct,sharpe_ratio,eod_forced_closes,status
1,2025-03-05,2025-03-12,0.1,0.6,2,ON,3,5,3,1000000,EOD,-59820.95819999977,-0.09496587499968764,63,53.96825396825397,-949.5390190476154,0.874549363818411,1116.431059605266,-1.132670968250299,53,OK
2,2025-03-05,2025-03-12,0.2,0.7,2,ON,5,5,3,1000000,EOD,-34351.27689999992,-0.05453271171716308,63,55.55555555555556,-545.2583634920622,0.9249529461266678,547.0728668223821,-0.6162714995564383,60,OK
3,2025-03-05,2025-03-12,0.1,0.6,2,ON,5,7,3,1000000,EOD,-78718.53459999993,-0.1249658103434092,63,55.55555555555556,-1249.500549206348,0.8280240317076548,0.0,-1.468100305781248,62,OK
4,2025-03-05,2025-03-12,0.2,0.7,2,ON,7,7,3,1000000,EOD,-97094.59459999998,-0.1541378374967083,63,55.55555555555556,-1541.184041269841,0.7960651358220637,0.0,-1.727588225309698,62,OK
5,2025-03-05,2025-03-12,0.1,0.6,2,ON,10,15,3,1000000,EOD,-99126.53149999995,-0.1573635408531726,63,55.55555555555556,-1573.437007936507,0.7926821070024249,0.0,-1.754144746711253,63,OK
6,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,20,3,1000000,EOD,-99126.53149999995,-0.1573635408531726,63,55.55555555555556,-1573.437007936507,0.7926821070024249,0.0,-1.754144746711253,63,OK
7,2025-03-05,2025-03-12,0.1,0.6,2,OFF,5,5,3,1000000,EOD,-34351.27689999992,-0.05453271171716308,63,55.55555555555556,-545.2583634920622,0.9249529461266678,547.0728668223821,-0.6162714995564383,60,OK
8,2025-03-05,2025-03-12,0.2,0.7,2,OFF,7,10,3,1000000,EOD,-97094.59459999998,-0.1541378374967083,63,55.55555555555556,-1541.184041269841,0.7960651358220637,0.0,-1.727588225309698,62,OK
9,2025-03-05,2025-03-12,0.1,0.6,2,ON,4,8,3,1000000,EOD,-84586.99959999986,-0.1342820087193496,63,55.55555555555556,-1342.650787301585,0.8175424793253272,0.0,-1.557281097236462,59,OK
10,2025-03-05,2025-03-12,0.2,0.7,2,ON,6,10,3,1000000,EOD,-88637.5414999999,-0.1407122510178824,63,55.55555555555556,-1406.945103174602,0.810461332860465,0.0,-1.612525632741562,62,OK
11,2025-03-05,2025-03-12,0.1,0.6,2,ON,3,3,1,1000000,EOD,-89762.99119999993,-0.4274656327917614,21,42.85714285714285,-4274.42815238095,0.623599753089499,33634.70551065996,-3.125268891738897,12,OK
12,2025-03-05,2025-03-12,0.2,0.7,2,ON,5,5,1,1000000,EOD,-32136.56430000019,-0.153039427614938,21,47.61904761904761,-1530.312585714295,0.854229449147469,315.8217898179983,-0.9526975754638145,18,OK
13,2025-03-05,2025-03-12,0.1,0.6,2,ON,7,5,1,1000000,EOD,-50512.62430000024,-0.2405491463877613,21,47.61904761904761,-2405.363061904774,0.7885049654800291,1020.228531283303,-1.390656797620835,18,OK
14,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,10,1,1000000,EOD,-96911.81890000016,-0.4615094866746061,21,47.61904761904761,-4614.848519047627,0.5976557639468556,0.0,-3.010941040374643,21,OK
15,2025-03-05,2025-03-12,0.1,0.6,2,OFF,3,5,1,1000000,EOD,-56505.09560000006,-0.2690862472797477,21,42.85714285714285,-2690.718838095241,0.7630590107213197,509.6170034432886,-1.716789414977509,13,OK
16,2025-03-05,2025-03-12,0.2,0.7,2,OFF,5,7,1,1000000,EOD,-76503.82200000015,-0.3643233613879209,21,47.61904761904761,-3643.03914285715,0.6529808173904904,0.0,-2.642290241985256,20,OK
17,2025-03-05,2025-03-12,0.1,0.6,2,ON,8,12,3,1000000,EOD,-109535.0245999999,-0.1738870417199592,63,55.55555555555556,-1738.651184126982,0.7757939931768095,0.0,-1.883730111194694,62,OK
18,2025-03-05,2025-03-12,0.2,0.7,2,ON,6,12,3,1000000,EOD,-88637.5414999999,-0.1407122510178824,63,55.55555555555556,-1406.945103174602,0.810461332860465,0.0,-1.612525632741562,62,OK
19,2025-03-05,2025-03-12,0.1,0.6,2,OFF,10,20,3,1000000,EOD,-99126.53149999995,-0.1573635408531726,63,55.55555555555556,-1573.437007936507,0.7926821070024249,0.0,-1.754144746711253,63,OK
20,2025-03-05,2025-03-12,0.2,0.7,2,ON,10,20,3,1000000,EOD,-99126.53149999995,-0.1573635408531726,63,55.55555555555556,-1573.437007936507,0.7926821070024249,0.0,-1.754144746711253,63,OK
